sec,subgroup,subgroup_query,ycol,stage,n_rows,n_patients
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,after_intraop_covars_clip_to_missing,15581524,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,after_intraop_covars_fill,15581524,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,raw_timeseries_rows,19798234,1451
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,after_required_etco2_y_nonmissing,16115457,1386
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,15684406,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,final_usable_points_strict_etco2_rso2,15613295,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,after_intraop_covars_clip_to_missing,15613295,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch2,after_intraop_covars_fill,15613295,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,raw_timeseries_rows,19798234,1451
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,after_required_etco2_y_nonmissing,16096220,1383
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,15680735,1383
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,final_usable_points_strict_etco2_rso2,15605502,1383
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,after_intraop_covars_clip_to_missing,15605502,1383
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch3,after_intraop_covars_fill,15605502,1383
