run_id,ycol,xvar,bin_idx,bin_label,x0,x1,x_mid,slope_per_unit,clinical_step_effect
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,14,S15,35.878,35.985,35.9315,0.1059494676982098,0.0529747338491049
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,15,S16,35.985,36.092000000000006,36.0385,0.3343973874465452,0.1671986937232726
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,16,S17,36.092000000000006,36.199000000000005,36.145500000000006,0.4455860765144455,0.22279303825722274
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,17,S18,36.199000000000005,36.306000000000004,36.252500000000005,0.3866838439121242,0.1933419219560621
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,18,S19,36.306000000000004,36.413000000000004,36.359500000000004,0.15785851828772873,0.07892925914386437
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,19,S20,36.413000000000004,36.52,36.4665,-0.2331373873182756,-0.1165686936591378
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,0,S01,24.0,24.65,24.325,0.2773741348776715,1.3868706743883574
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,1,S02,24.65,25.3,24.975,0.3205178384172522,1.602589192086261
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,2,S03,25.3,25.95,25.625,0.3549565605219684,1.774782802609842
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,3,S04,25.95,26.6,26.275,0.38066921826535444,1.9033460913267721
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,4,S05,26.6,27.25,26.925,0.39765711580261043,1.988285579013052
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,5,S06,27.25,27.9,27.575,0.40802979774014236,2.040148988700712
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,6,S07,27.9,28.55,28.225,0.41887307979670424,2.094365398983521
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,7,S08,28.55,29.2,28.875,0.43180176499202727,2.1590088249601362
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,8,S09,29.2,29.85,29.525,0.4468389412260005,2.2341947061300025
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,9,S10,29.85,30.5,30.175,0.4639800375847788,2.319900187923894
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,10,S11,30.5,31.15,30.825,0.4827419942144993,2.4137099710724965
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,11,S12,31.15,31.8,31.475,0.5022436621717475,2.511218310858738
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,12,S13,31.8,32.45,32.125,0.5224072130621932,2.6120360653109658
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,13,S14,32.45,33.1,32.775000000000006,0.5430182499273659,2.7150912496368296
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,14,S15,33.1,33.75,33.425,0.5640933005462385,2.8204665027311924
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,15,S16,33.75,34.4,34.075,0.5834743455506655,2.917371727753327
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,16,S17,34.4,35.05,34.724999999999994,0.5988692229257284,2.994346114628642
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,17,S18,35.05,35.7,35.375,0.6101468456108214,3.0507342280541074
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,18,S19,35.7,36.35,36.025000000000006,0.617329717629766,3.08664858814883
n10000_overall_mapci_te_boot200,rSO2_Ch2,ET_CO2,19,S20,36.35,37.0,36.675,0.620064524310549,3.100322621552745
