table,cohort,characteristic,value,missing_n
Table 1 baseline/static,SftO2,"Carotid_artery_disease=2.0, n (%)",176 (9.8%),0
Table 1 baseline/static,SftO2,"Carotid_artery_disease=3.0, n (%)",161 (9.0%),0
Table 1 baseline/static,SftO2,"Statin_1, n (%)",1747 (97.7%),0
Table 1 baseline/static,SftO2,"Hypertension_140_90, n (%)",406 (22.7%),0
Table 2 intraoperative/timestamp,SftO2,"ET_CO2, mean (SD)",30.1 (4.1),0
Table 2 intraoperative/timestamp,SftO2,"ET_CO2, median (IQR)",30.0 (28.0-32.0),0
Table 2 intraoperative/timestamp,SftO2,"FiO2_new, mean (SD)",65.4 (14.1),0
Table 2 intraoperative/timestamp,SftO2,"FiO2_new, median (IQR)",62.0 (57.0-70.0),0
Table 2 intraoperative/timestamp,SftO2,"TEMP, mean (SD)",35.5 (0.6),0
Table 2 intraoperative/timestamp,SftO2,"TEMP, median (IQR)",35.5 (35.1-35.9),0
Table 2 intraoperative/timestamp,SftO2,"MAP, mean (SD)",75.9 (15.0),0
Table 2 intraoperative/timestamp,SftO2,"MAP, median (IQR)",75.0 (66.0-85.0),0
Table 2 intraoperative/timestamp,SftO2,"SV, mean (SD)",74.5 (22.8),0
Table 2 intraoperative/timestamp,SftO2,"SV, median (IQR)",72.0 (58.2-87.7),0
Table 2 intraoperative/timestamp,SftO2,"HR, mean (SD)",62.7 (11.9),0
Table 2 intraoperative/timestamp,SftO2,"HR, median (IQR)",61.2 (54.5-69.8),0
Table 2 intraoperative/timestamp,SftO2,"CI, mean (SD)",2.6 (0.9),0
Table 2 intraoperative/timestamp,SftO2,"CI, median (IQR)",2.5 (2.0-3.0),0
Table 2 intraoperative/timestamp,SftO2,"RRtotal, mean (SD)",12.9 (2.0),0
Table 2 intraoperative/timestamp,SftO2,"RRtotal, median (IQR)",13.0 (12.0-14.0),0
Table 2 intraoperative/timestamp,SftO2,"TVinsp, mean (SD)",412.3 (65.2),0
Table 2 intraoperative/timestamp,SftO2,"TVinsp, median (IQR)",409.0 (379.0-450.0),0
Table 2 intraoperative/timestamp,SftO2,"Pmean, mean (SD)",6.0 (1.6),0
Table 2 intraoperative/timestamp,SftO2,"Pmean, median (IQR)",6.0 (5.0-7.0),0
Table 2 intraoperative/timestamp,SftO2,"rSO2_Ch3, mean (SD)",75.5 (5.9),0
Table 2 intraoperative/timestamp,SftO2,"rSO2_Ch3, median (IQR)",76.0 (72.0-79.0),0
Table 2 intraoperative/timestamp,SftO2,"Patients, n",20068759,0
