subgroup,ycol,xvar,segment,x_start,x_end,pred_start,pred_end,clinical_step,clinical_step_label,signed_effect,window_lo,window_hi,window_source
All,rSO2_Ch2,ET_CO2,19,35.7,36.35,73.698581420177,74.09984573663635,5.0,CO2 +5 mmHg,3.08664858814883,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,20,36.35,37.0,74.09984573663635,74.50288767743821,5.0,CO2 +5 mmHg,3.100322621552745,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,1,46.0,48.45,70.37406701254577,70.37870900247954,5.0,FiO2 +5%,0.009473448844435736,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,2,48.45,50.9,70.37870900247954,70.25529146489119,5.0,FiO2 +5%,-0.25187252569051555,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,3,50.9,53.35,70.25529146489119,70.14772954733753,5.0,FiO2 +5%,-0.21951411745643462,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,4,53.35,55.8,70.14772954733753,70.16845440145408,5.0,FiO2 +5%,0.042295620646022984,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,5,55.8,58.25,70.16845440145408,70.30187115214466,5.0,FiO2 +5%,0.27227908304198223,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,6,58.25,60.7,70.30187115214466,70.49366381308229,5.0,FiO2 +5%,0.3914135937502783,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,7,60.7,63.15,70.49366381308229,70.69133629754909,5.0,FiO2 +5%,0.40341323360570014,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,8,63.15,65.6,70.69133629754909,70.85041121726677,5.0,FiO2 +5%,0.32464269330139234,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,9,65.6,68.05,70.85041121726677,70.9299162071428,5.0,FiO2 +5%,0.16225508137964934,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,10,68.05,70.5,70.9299162071428,70.89709975827957,5.0,FiO2 +5%,-0.06697234461883594,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,11,70.5,72.95,70.89709975827957,70.80658724833818,5.0,FiO2 +5%,-0.18471940804365453,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,12,72.95,75.4,70.80658724833818,70.77578758509898,5.0,FiO2 +5%,-0.06285645559019047,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,13,75.4,77.85,70.77578758509898,70.92038175141407,5.0,FiO2 +5%,0.2950901353369148,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,14,77.85,80.3,70.92038175141407,71.24657523969191,5.0,FiO2 +5%,0.6657009964853822,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,15,80.3,82.75,71.24657523969191,71.64251571682317,5.0,FiO2 +5%,0.8080417900637992,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,16,82.75,85.2,71.64251571682317,71.9896198722947,5.0,FiO2 +5%,0.7083758274929115,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,17,85.2,87.65,71.9896198722947,72.2063500452496,5.0,FiO2 +5%,0.44230647541815604,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,18,87.65,90.1,72.2063500452496,72.27641140822662,5.0,FiO2 +5%,0.14298237342250844,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,19,90.1,92.55,72.27641140822662,72.18999698421669,5.0,FiO2 +5%,-0.17635596736720532,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,20,92.55,95.0,72.18999698421669,72.03028893771787,5.0,FiO2 +5%,-0.32593478877310367,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,TEMP,1,34.39,34.496025,70.20580066097988,70.43251276507976,0.5,TEMP +0.5 C,1.0691445607162624,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,2,34.496025,34.60205,70.43251276507976,70.62527277521927,0.5,TEMP +0.5 C,0.9090309367579203,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,3,34.60205,34.708075,70.62527277521927,70.77576632988163,0.5,TEMP +0.5 C,0.709707873908785,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,4,34.708075,34.8141,70.77576632988163,70.87551437446328,0.5,TEMP +0.5 C,0.4703987011631344,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,5,34.8141,34.920125,70.87551437446328,70.92305766940902,0.5,TEMP +0.5 C,0.22420794598322102,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,6,34.920125,35.02615,70.92305766940902,70.92400676967189,0.5,TEMP +0.5 C,0.004475832411563647,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,7,35.02615,35.132175000000004,70.92400676967189,70.88528636114287,0.5,TEMP +0.5 C,-0.1826003703325422,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,8,35.132175000000004,35.2382,70.88528636114287,70.81391755218529,0.5,TEMP +0.5 C,-0.336565946510681,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,9,35.2382,35.344225,70.81391755218529,70.72612562793158,0.5,TEMP +0.5 C,-0.4140152051577716,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,10,35.344225,35.45025,70.72612562793158,70.64299657315797,0.5,TEMP +0.5 C,-0.39202572399722263,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,11,35.45025,35.556275,70.64299657315797,70.58556199475997,0.5,TEMP +0.5 C,-0.2708539419853846,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,12,35.556275,35.6623,70.58556199475997,70.57163241605521,0.5,TEMP +0.5 C,-0.06569006698779156,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,13,35.6623,35.768325,70.57163241605521,70.60331274312912,0.5,TEMP +0.5 C,0.14940026915310403,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,14,35.768325,35.87435,70.60331274312912,70.68057470515558,0.5,TEMP +0.5 C,0.3643572837842639,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,15,35.87435,35.980375,70.68057470515558,70.80069587578399,0.5,TEMP +0.5 C,0.566475692659305,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,16,35.980375,36.0864,70.80069587578399,70.94948113648707,0.5,TEMP +0.5 C,0.7016517835561676,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,17,36.0864,36.192425,70.94948113648707,71.09998260297438,0.5,TEMP +0.5 C,0.7097451850380074,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,18,36.192425,36.29845,71.09998260297438,71.22482391109294,0.5,TEMP +0.5 C,0.588735242247389,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,19,36.29845,36.404475,71.22482391109294,71.30297001229717,0.5,TEMP +0.5 C,0.36852676823498765,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,TEMP,20,36.404475,36.5105,71.30297001229717,71.33891026616784,0.5,TEMP +0.5 C,0.16948952544530352,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,1,24.0,24.65,74.2883096485186,74.47684134149793,5.0,CO2 +5 mmHg,1.4502437921486555,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,2,24.65,25.3,74.47684134149793,74.66428466101901,5.0,CO2 +5 mmHg,1.4418716886236862,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,3,25.3,25.95,74.66428466101901,74.85031912267105,5.0,CO2 +5 mmHg,1.4310343204003275,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,4,25.95,26.6,74.85031912267105,75.03462424204325,5.0,CO2 +5 mmHg,1.4177316874784385,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,5,26.6,27.25,75.03462424204325,75.21687953472497,5.0,CO2 +5 mmHg,1.4019637898593622,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,6,27.25,27.9,75.21687953472497,75.39674727215203,5.0,CO2 +5 mmHg,1.3835979802081542,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,7,27.9,28.55,75.39674727215203,75.57391248747106,5.0,CO2 +5 mmHg,1.3628093486079642,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,8,28.55,29.2,75.57391248747106,75.74806084866803,5.0,CO2 +5 mmHg,1.3396027784382325,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,9,29.2,29.85,75.74806084866803,75.91887187133209,5.0,CO2 +5 mmHg,1.3139309435696436,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,10,29.85,30.5,75.91887187133209,76.08602614326564,5.0,CO2 +5 mmHg,1.2858020917965782,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,11,30.5,31.15,76.08602614326564,76.24928829699157,5.0,CO2 +5 mmHg,1.255862720968649,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,12,31.15,31.8,76.24928829699157,76.40857169095386,5.0,CO2 +5 mmHg,1.2252568766330554,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,13,31.8,32.45,76.40857169095386,76.56380233181437,5.0,CO2 +5 mmHg,1.194081852773143,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,14,32.45,33.1,76.56380233181437,76.71494902628272,5.0,CO2 +5 mmHg,1.1626668805257867,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,15,33.1,33.75,76.71494902628272,76.86195467454637,5.0,CO2 +5 mmHg,1.130812678951108,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,16,33.75,34.4,76.86195467454637,77.00476217679277,5.0,CO2 +5 mmHg,1.0985192480492225,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,17,34.4,35.05,77.00476217679277,77.14331443320931,5.0,CO2 +5 mmHg,1.0657865878195836,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,18,35.05,35.7,77.14331443320931,77.27755434398357,5.0,CO2 +5 mmHg,1.0326146982634918,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,19,35.7,36.35,77.27755434398357,77.40739135317318,5.0,CO2 +5 mmHg,0.9987462245354992,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,20,36.35,37.0,77.40739135317318,77.53279448761954,5.0,CO2 +5 mmHg,0.9646394957412208,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,1,46.0,48.45,76.88542287904859,76.66405531361261,5.0,FiO2 +5%,-0.4517705417060877,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,2,48.45,50.9,76.66405531361261,76.41823947075088,5.0,FiO2 +5%,-0.5016649854321049,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,3,50.9,53.35,76.41823947075088,76.20012711373676,5.0,FiO2 +5%,-0.44512725921249136,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,4,53.35,55.8,76.20012711373676,76.0517347880465,5.0,FiO2 +5%,-0.30284148100051655,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,5,55.8,58.25,76.0517347880465,75.9725624677342,5.0,FiO2 +5%,-0.1615761639026439,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,6,58.25,60.7,75.9725624677342,75.9506620592053,5.0,FiO2 +5%,-0.044694711283483984,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,7,60.7,63.15,75.9506620592053,75.97325735499558,5.0,FiO2 +5%,0.04611284855159593,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,8,63.15,65.6,75.97325735499558,76.02837459632109,5.0,FiO2 +5%,0.11248416597041763,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,9,65.6,68.05,76.02837459632109,76.10334558871348,5.0,FiO2 +5%,0.15300202529060078,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,10,68.05,70.5,76.10334558871348,76.18593690325392,5.0,FiO2 +5%,0.168553703143749,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,11,70.5,72.95,76.18593690325392,76.26375501721527,5.0,FiO2 +5%,0.15881247747215596,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,12,72.95,75.4,76.26375501721527,76.32441348386364,5.0,FiO2 +5%,0.12379278907829112,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,13,75.4,77.85,76.32441348386364,76.35600779667908,5.0,FiO2 +5%,0.06447818941927173,46.0,95.0,model_input_q05_q95
